dosage_forms,generic_formulation,actual_ending,count
Oral Tablet,pravastatin sodium 10 MG, MG,50
Oral Tablet,phenazopyridine hydrochloride 100 MG, MG,50
Oral Tablet,atropine sulfate 0.025 MG / diphenoxylate hydrochloride 2.5 MG, MG,49
Oral Tablet,hydrochlorothiazide 25 MG / losartan potassium 100 MG, MG,49
Medicated Pad,povidone-iodine 100 MG/ML,ML,49
"TABLET, EXTENDED RELEASE",Microencapsulated potassium chloride 10 MEQ Extended Release Oral Tablet, MEQ Extended Release Oral Tablet,49
Extended Release Oral Tablet,Microencapsulated potassium chloride 10 MEQ, MEQ,49
Oral Tablet,olmesartan medoxomil 40 MG, MG,49
Oral Tablet,doxazosin 4 MG, MG,49
Oral Capsule,indomethacin 50 MG, MG,49
Oral Capsule,amantadine hydrochloride 100 MG, MG,49
Oral Tablet,levocetirizine dihydrochloride 5 MG, MG,49
Oral Tablet,ethinyl estradiol 0.02 MG / norethindrone acetate 1 MG, MG,49
Extended Release Oral Tablet,24 HR metoprolol succinate 200 MG, MG,48
Oral Tablet,risperidone 2 MG, MG,48
Gas for Inhalation,nitrous oxide 99 %,,48
Oral Tablet,naproxen sodium 550 MG, MG,48
Injection,1 ML ketorolac tromethamine 30 MG/ML,ML,48
Otic Solution,ofloxacin 3 MG/ML,ML,48
"TABLET, EXTENDED RELEASE",24 HR metoprolol succinate 200 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,48
INHALATION GAS,nitrous oxide 99 % Gas for Inhalation, Gas for Inhalation,48
Extended Release Oral Tablet,12 HR bupropion hydrochloride 100 MG, MG,48
Oral Tablet,risperidone 1 MG, MG,48
Oral Tablet,citalopram 20 MG, MG,48
Oral Capsule,prazosin 1 MG, MG,48
Oral Tablet,eszopiclone 2 MG, MG,48
Ophthalmic Solution,ciprofloxacin 3 MG/ML,ML,48
"TABLET, EXTENDED RELEASE",12 HR bupropion hydrochloride 100 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,48
Oral Tablet,hydralazine hydrochloride 25 MG, MG,48
Oral Capsule,amoxicillin 250 MG, MG,47
Oral Tablet,lorazepam 2 MG, MG,47
Oral Capsule,hydroxyzine pamoate 50 MG, MG,47
Oral Tablet,nabumetone 750 MG, MG,47
Oral Tablet,labetalol hydrochloride 100 MG, MG,47
Oral Capsule,temazepam 30 MG, MG,47
Oral Tablet,ezetimibe 10 MG, MG,47
Oral Tablet,clonazepam 2 MG, MG,47
Oral Tablet,levothyroxine sodium 0.2 MG, MG,47
Oral Tablet,levetiracetam 250 MG, MG,46
Oral Tablet,labetalol hydrochloride 200 MG, MG,46
Oral Tablet,valsartan 160 MG, MG,46
Oral Tablet,fluconazole 100 MG, MG,46
SOLUTION FOR INJECTION,lidocaine hydrochloride 10 MG/ML Injectable Solution,ML Injectable Solution,46
Oral Tablet,naltrexone hydrochloride 50 MG, MG,46
"SUSPENSION, ORAL (FINAL DOSE FORM)",azithromycin 40 MG/ML Oral Suspension,ML Oral Suspension,46
Oral Capsule,temazepam 15 MG, MG,46
Oral Tablet,glyburide 5 MG, MG,46
Oral Tablet,hydrochlorothiazide 12.5 MG / losartan potassium 50 MG, MG,46
Oral Suspension,azithromycin 40 MG/ML,ML,46
Oral Tablet,levothyroxine sodium 0.175 MG, MG,46
Injection,1 ML glycopyrrolate 0.2 MG/ML,ML,46
Oral Capsule,progesterone 100 MG, MG,46
Injectable Solution,lidocaine hydrochloride 10 MG/ML,ML,46
Topical Cream,silver sulfadiazine 10 MG/ML,ML,45
Oral Tablet,anastrozole 1 MG, MG,45
Oral Tablet,quetiapine 300 MG, MG,45
Oral Tablet,enalapril maleate 20 MG, MG,45
Oral Tablet,enalapril maleate 10 MG, MG,45
Oral Tablet,propranolol hydrochloride 10 MG, MG,45
Oral Tablet,aripiprazole 2 MG, MG,45
Oral Tablet,propranolol hydrochloride 40 MG, MG,45
Oral Tablet,acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG, MG,45
Oral Tablet,paroxetine hydrochloride 40 MG, MG,44
Oral Capsule,nortriptyline 25 MG, MG,44
"TABLET, SUBLINGUAL",nitroglycerin 0.4 MG Sublingual Tablet, MG Sublingual Tablet,44
Oral Tablet,buspirone hydrochloride 30 MG, MG,44
Sublingual Tablet,nitroglycerin 0.4 MG, MG,44
Oral Capsule,doxepin 25 MG, MG,44
Oral Capsule,omega-3 acid ethyl esters (USP) 1000 MG, MG,44
Oral Tablet,estradiol 1 MG, MG,44
Oral Capsule,prazosin 2 MG, MG,44
Oral Tablet,escitalopram 5 MG, MG,44
Oral Tablet,eszopiclone 1 MG, MG,44
Oral Tablet,warfarin sodium 5 MG, MG,44
SOLUTION FOR INJECTION,succinylcholine chloride 20 MG/ML Injectable Solution,ML Injectable Solution,44
Oral Tablet,olmesartan medoxomil 20 MG, MG,44
Injectable Solution,succinylcholine chloride 20 MG/ML,ML,44
Oral Tablet,levetiracetam 750 MG, MG,44
Oral Tablet,midodrine hydrochloride 5 MG, MG,43
Oral Tablet,quetiapine 400 MG, MG,43
Oral Tablet,penicillin V potassium 250 MG, MG,43
Injectable Solution,glycopyrrolate 0.2 MG/ML,ML,43
SOLUTION FOR INJECTION,glycopyrrolate 0.2 MG/ML Injectable Solution,ML Injectable Solution,43
Oral Tablet,hydrochlorothiazide 12.5 MG / losartan potassium 100 MG, MG,43
Topical Cream,hydroquinone 40 MG/ML,ML,43
Oral Capsule,cefadroxil 500 MG, MG,43
Oral Tablet,enalapril maleate 5 MG, MG,43
Oral Tablet,sumatriptan 50 MG, MG,43
